thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.010542100004386157,0.010345000016968697,0.018703199981246144,4.44604559999425,[0.056666666666666664],[0.058333333333333334],[1],[0],[0],[4.435140700021293],[],,,,,,,,,,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,4.453593500016723,,,,,,,,,,,,,4.449175000016112,0.003066500008571893,4.453593500016723,3.007537841796875,-0.011666666666666667,0.0016666666666666668,0.03649657318569424,-0.012441255279214285,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.015636682510376,-0.011666666666666667,0.0016666666666666668,0.535581475384625,0.40013970019864303,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0246450901031494,-0.011666666666666667,0.0016666666666666668,0.7137821024870314,-0.4951429418953159,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0336616039276123,-0.011666666666666667,0.0016666666666666668,1.065084522405353,-0.9334667674303216,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0427350997924805,-0.011666666666666667,0.0016666666666666668,0.7673642042637928,-1.265580250851904,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.051750898361206,-0.011666666666666667,0.0016666666666666668,0.8862941332627694,-1.377939086775498,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.060746669769287,-0.011666666666666667,0.0016666666666666668,0.7017844760369694,-1.3180711523317463,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.069751262664795,-0.011666666666666667,0.0016666666666666668,0.7041920722659678,-1.8189191849543964,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0797524452209473,-0.011666666666666667,0.0016666666666666668,0.7862787659535365,-2.237496955090514,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0877764225006104,-0.011666666666666667,0.0016666666666666668,1.2069339693487584,-1.6780661724479016,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.09779953956604,-0.006666666666666667,0.0016666666666666668,1.0046021730509964,-1.9158332334330561,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.105800151824951,-0.0016666666666666668,0.0,0.9769134827154465,-1.592483212773541,1.0,,407153,001,2025-07-15_10h01.00.695,ContPsyTracking,2024.2.4,159.19688352547558,2025-07-15 10h01.05.025414 +0100,
