thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Calibration.started,polygon_2.started,mouse_2.started,Calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trial.started,polygon.started,mouse.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.008518500000718632,0.012674300000071526,0.008147000000462867,2.2693545000001905,[0.04675925925925926],[0.04675925925925926],[1],[0],[0],[2.2596906999997373],,,,,,,,,,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,2.2807536000000255,,,,,,,,,,,,2.270775400000275,2.2807536000000255,0.0011728999998013023,3.0104522705078125,0.004166666666666667,0.000462962962962963,-0.06451686222528301,0.021881337031584673,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.0267343521118164,0.004166666666666667,0.000462962962962963,0.2635816829433114,0.05711694854810545,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.043077230453491,0.004166666666666667,0.000462962962962963,0.10674801827353472,-0.521061721509788,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.060656785964966,0.004166666666666667,0.000462962962962963,-0.045045736263766734,-0.5397023463832952,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.076758861541748,0.004166666666666667,0.000462962962962963,-0.23449256996479123,-0.8639086720152034,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.0938844680786133,0.004166666666666667,0.000462962962962963,-0.1461690455125137,-1.0116427954247078,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.110069751739502,0.004166666666666667,0.000462962962962963,-0.05041638877993644,-1.215203743516063,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.126936674118042,0.004166666666666667,0.000462962962962963,0.6195637274053708,-1.5884343544413408,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.1432085037231445,0.004166666666666667,0.000462962962962963,0.29843307051702445,-1.5900030543915393,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.1606602668762207,0.004166666666666667,0.000462962962962963,0.24315535130200794,-1.5841817940770646,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.176891326904297,0.004166666666666667,0.000462962962962963,0.0034671251830429572,-2.0369195238727547,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.194833993911743,0.004166666666666667,0.000462962962962963,-0.17101793895522197,-2.0392699582023854,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.2100565433502197,0.004166666666666667,0.000462962962962963,0.24888051592045388,-2.245376167275289,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.2271504402160645,0.004166666666666667,0.000462962962962963,0.15139728645854508,-2.405707681578162,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.2436985969543457,0.004166666666666667,0.000462962962962963,-0.24940959099499274,-2.274333282686335,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.259880542755127,0.004166666666666667,0.000462962962962963,-0.25987598676117407,-2.3276306017134503,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.277053117752075,0.004166666666666667,0.000462962962962963,-0.18692710334010348,-2.5594876548998666,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.293515920639038,0.004166666666666667,0.000462962962962963,-0.499731852566602,-2.2418291321998947,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.310271978378296,0.004166666666666667,0.000462962962962963,-0.6459539480589451,-2.3540815830594553,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.3264708518981934,0.004166666666666667,0.000462962962962963,-0.2615562134502677,-2.651205025199732,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.343574285507202,0.004166666666666667,0.000462962962962963,0.03178571845188294,-2.8302663705262434,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.3602209091186523,0.004166666666666667,0.000462962962962963,-0.09945959627793152,-3.133670335827166,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.3770368099212646,0.004166666666666667,0.000462962962962963,-0.2587536776869338,-2.9708508341966064,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.3940961360931396,0.004166666666666667,0.000462962962962963,-0.23951715004433455,-3.719166555034494,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,3.410552978515625,0.004166666666666667,0.000462962962962963,-0.2538165646957401,-3.8310580351560803,0.03,,,,,,,364561,001,2025-07-15_11h02.33.889,ContPsy,2024.2.3,59.81608945141404,2025-07-15 11h02.43.319081 +0100,
