thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.203183413,-0.003333333,-0.003333333,0.373032743,-2.584096371,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.213148355,-0.003333333,-0.003333333,-0.047625491,-2.958931107,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.222114563,-0.003333333,-0.003333333,-0.334774681,-3.099178656,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.233082056,-0.003333333,-0.003333333,-0.084583453,-3.030714651,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.241052389,-0.003333333,-0.003333333,-0.297527438,-2.869981153,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.250025272,-0.003333333,-0.003333333,-0.629143881,-2.524475541,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.260001659,-0.003333333,-0.003333333,-0.438596636,-2.344986865,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.268958807,-0.003333333,-0.003333333,-1.01771779,-2.180614934,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.276932955,-0.003333333,-0.003333333,-0.671543038,-2.223438064,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.287894964,-0.003333333,-0.003333333,-0.162748066,-2.689534099,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.298862219,-0.003333333,-0.003333333,-0.128286713,-3.201254951,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.307831049,-0.003333333,-0.003333333,-0.364071982,-3.348146753,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.316798449,-0.003333333,-0.003333333,-0.530509539,-3.684871861,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.326770544,-0.003333333,-0.003333333,-0.662335286,-2.988741555,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.334762096,-0.003333333,-0.003333333,-0.505532208,-2.589373634,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.343714714,-0.003333333,-0.003333333,-0.534122944,-2.162512467,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.354675055,-0.003333333,-0.003333333,-0.173342057,-2.320191463,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.36464262,-0.003333333,-0.003333333,-0.143290288,-1.78454918,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.37561512,-0.003333333,-0.003333333,-0.280464254,-1.852546911,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.383574724,-0.003333333,-0.003333333,-0.400274993,-2.298346109,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.395534515,-0.003333333,-0.006666667,-0.741313041,-2.178017778,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.403512716,-0.005,-0.016666667,-0.500243251,-1.959186614,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.414471149,-0.013333333,-0.033333333,-0.925518383,-1.408741721,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.425435066,-0.023333333,-0.053333333,-0.905127095,-1.290677386,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.432416201,-0.03,-0.073333333,-0.852904489,-1.278444476,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.444376945,-0.033333333,-0.085,-0.407783414,-1.115313781,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.451347828,-0.036666667,-0.106666667,-0.554430352,-1.467354097,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.462318182,-0.038333333,-0.113333333,-0.268398787,-0.927808357,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.470289707,-0.038333333,-0.118333333,-0.239735978,-0.997725367,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.480255365,-0.038333333,-0.12,-0.533716496,-0.795368782,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
