trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,polygon_2.started,mouse_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trial.started,polygon.started,mouse.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,,,,,,,,,,,,,,,,3.295814037322998,0.0008333333333333334,-0.005,-0.11548980387874325,0.4314984321789211,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.313829183578491,0.0008333333333333334,-0.005,-0.27244465596972467,0.7158693638458566,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.3288180828094482,0.0008333333333333334,-0.005,0.022592168487135578,0.8385906891570009,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.3449254035949707,0.0008333333333333334,-0.005,0.213597188578019,1.257578462454905,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.3619117736816406,0.0008333333333333334,-0.005,-0.14871835754681903,2.0732483743917025,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.3788113594055176,0.0008333333333333334,-0.005,-0.23476958885264487,1.9231287585065122,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.395872116088867,0.0008333333333333334,-0.005,-0.1677456398399728,1.8458080737811167,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.412809133529663,0.0008333333333333334,-0.005,0.06859403717273704,2.0471526244763143,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.427945613861084,0.0008333333333333334,-0.005,0.25986413792655194,1.6037755818217325,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.444683074951172,0.0008333333333333334,-0.005,-0.20864242499984498,1.5693244449919477,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.462571144104004,0.0008333333333333334,-0.005,-0.03174025430744898,1.8146566675876021,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.4788122177124023,0.0008333333333333334,-0.005,-0.14085213027604748,2.4297332892967183,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.495952606201172,0.0008333333333333334,-0.005,-0.31742556978775927,2.8844060559565894,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.513275146484375,0.0008333333333333334,-0.005,-0.030504432475927268,2.7026534292160154,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.529282808303833,0.0008333333333333334,-0.005,-0.34250140732222806,2.732116112019955,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.547264814376831,0.0008333333333333334,-0.005,-0.5388811352743981,2.804674902582147,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.5632708072662354,0.0008333333333333334,-0.005,-0.7228084557550795,3.1733214674458137,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.5792763233184814,0.0008333333333333334,-0.005,-1.035474935744757,3.02371114409996,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.596686840057373,0.0008333333333333334,-0.005,-0.43442648166436926,3.5357487738784954,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.6126718521118164,0.0008333333333333334,-0.005,-0.006633980210199675,3.719377103152688,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.6287407875061035,0.0008333333333333334,-0.005,0.16035181012750258,3.991642435496473,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.6456706523895264,0.0008333333333333334,-0.005,0.43769791417472514,4.087559901146123,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.6623222827911377,0.0008333333333333334,-0.005,0.45982629215056536,3.843810926764541,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
0,0,0,0,,,,,,,,,,,,,,,,3.6784279346466064,0.0008333333333333334,-0.005,0.6661807619736937,3.7346172479932744,0.03,,,,,,,,549072,001,2025-07-15_11h56.21.999,constpsy,2023.2.3,59.8242841396723,2025-07-15 11h56.30.581692 +0200,
