trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,polygon_2.started,mouse_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trial.started,polygon.started,mouse.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,,,,,,,,,,,,,,,,3.392019033,-0.002777778,-0.000925926,1.353490274,0.511182905,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.409154177,-0.002777778,-0.000925926,1.250373533,0.328075013,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.426158428,-0.002777778,-0.000925926,1.035431661,0.202320889,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.442156553,-0.002777778,-0.000925926,1.629445543,0.068093846,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.460170746,-0.002777778,-0.000925926,1.59790839,0.216015784,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.476076126,-0.002777778,-0.000925926,1.809450239,0.315509891,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.492076159,-0.002777778,-0.000925926,1.829679833,0.526785558,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.509071827,-0.002777778,-0.000925926,1.526499927,0.848240408,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.526192188,-0.002777778,0.000925926,1.344679873,0.779288125,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.543210268,-0.001851852,0.001851852,1.904084579,1.031106632,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
0,0,0,0,,,,,,,,,,,,,,,,3.559225082,-0.001851852,0.002777778,2.074131341,0.665272855,1,,,,,,,,999,1,2025-07-15_11h59.17.840,untitled,2023.2.3,59.90832828,2025-07-15 11h59.24.353130 +0200
