thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.010725800064392388,0.010546399978920817,0.018930900027044117,0.9731330000795424,[0.056666666666666664],[0.058333333333333334],[1],[0],[0],[0.9621075000613928],[],,,,,,,,,,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,0.9766578000271693,,,,,,,,,,,,,0.9734888999955729,0.00029859994538128376,0.9766578000271693,3.003643751144409,-0.006666666666666667,-0.005,0.3484826366515154,0.5760701399588667,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.009644031524658,-0.006666666666666667,-0.005,0.7038943142943261,0.8268183202334041,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.015643835067749,-0.006666666666666667,-0.005,1.0227265055204156,0.7305228865812048,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.021643877029419,-0.006666666666666667,-0.005,1.4622014557751708,0.8168802234120046,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.028644323348999,-0.006666666666666667,-0.005,1.7835564183432908,1.6157017981406032,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0336532592773438,-0.006666666666666667,-0.005,1.9952267675951036,1.2069586233159724,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0396525859832764,-0.006666666666666667,-0.005,1.6257215629517445,0.7852711397297623,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0466701984405518,-0.006666666666666667,-0.005,1.3545036138914197,0.7341901347621757,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.052704095840454,-0.006666666666666667,-0.005,1.633020091203964,0.4874521101172957,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.058703899383545,-0.006666666666666667,-0.005,1.9153635542465612,0.05801739656423993,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0647037029266357,-0.006666666666666667,-0.005,2.1512281695492868,-0.378700873585113,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0707039833068848,-0.006666666666666667,-0.005,2.000707196159782,-0.47081756502052724,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.076704263687134,-0.006666666666666667,-0.005,1.709891980408357,-0.3609551068343479,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0827038288116455,-0.006666666666666667,-0.005,1.6422753348975292,-0.27798744136876896,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0887041091918945,-0.006666666666666667,-0.005,1.7994704575675076,0.4140519231959888,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0947041511535645,-0.006666666666666667,-0.005,1.7300711063197984,0.42883140243896584,1,,,864253,001,2025-07-07_04h11.07.342,ContPsyTracking,2024.2.4,167.28898171730174,2025-07-07 04h11.10.350608 -0400,
