thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.172441006,-0.001666667,-0.003333333,2.552591679,0.869545085,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.181557894,-0.001666667,-0.003333333,2.361829133,1.194962954,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.188579559,-0.001666667,-0.003333333,2.315607449,1.173197188,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.197038651,-0.001666667,-0.003333333,2.137498255,1.349314981,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.206131935,-0.001666667,-0.003333333,2.665818323,1.04001088,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.214687109,-0.001666667,-0.003333333,2.656536748,1.097667836,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.223726273,-0.001666667,-0.003333333,2.550359077,1.351880878,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.230306625,-0.001666667,-0.003333333,2.350624636,1.305191961,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.235305548,-0.001666667,-0.003333333,2.579152585,0.732102785,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.245842218,-0.001666667,-0.003333333,2.945743518,0.801643665,1,,,377166,1,2025-07-07_15h55.35.819,ContPsyTracking,2024.2.4,116.7798653,2025-07-07 15h55.41.644647 -0400
