trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_2.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,polygon.started,mouse.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,polygon.stopped,mouse.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,3.1746091842651367,0.06313645621181263,-0.159877800407332,-0.7846288824086485,-2.141090698750438,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.178345203399658,0.06313645621181263,-0.159877800407332,-1.0445441395018142,-2.2711172020078876,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.191932201385498,0.0539714867617108,-0.1415478615071283,-0.6852114063212831,-2.1350431999241737,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.19697904586792,0.045824847250509164,-0.12016293279022404,-0.5844262758263962,-1.8513724842353725,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.201726198196411,0.045824847250509164,-0.12016293279022404,-0.40231034470786675,-1.8281554467718408,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.2139391899108887,0.03971486761710794,-0.09266802443991853,-0.17572860208452035,-1.9220921693944861,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.2183380126953125,0.03971486761710794,-0.09266802443991853,0.10823404703922629,-1.7779018451551216,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.231189250946045,0.032586558044806514,-0.06008146639511202,0.5989759969611612,-2.127557486928197,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.2354719638824463,0.032586558044806514,-0.06008146639511202,0.044009991743797605,-2.282065671374411,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.248453140258789,0.029531568228105907,-0.04073319755600815,0.3499531382966385,-2.441645803225468,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.2529351711273193,0.028513238289205704,-0.03665987780040733,0.4215432003036436,-2.551074184953659,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.2654502391815186,0.028513238289205704,-0.029531568228105907,0.04969470873542964,-2.5131537161294277,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.268578052520752,0.0274949083503055,-0.024439918533604887,-0.06968276550969603,-2.755315827109267,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
0,0,0,0,,,,,,,,,,,3.2825729846954346,0.0274949083503055,-0.020366598778004074,-0.04242613093228363,-2.8866338404207337,0.03,,,,,,,,,435100,001,2025-07-15_10h27.01.014,Continuous_Psychophysics,2022.2.5,None,
