thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.009312750000390224,0.009142832999714301,0.021320750000086264,8.209847042000547,[0.11166666666666666],[0.11],[1],[0],[0],[8.20018304200039],[],,,,,,,,,,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,8.215626000000157,,,,,,,,,,,,,8.210692499999823,0.0007026670000414015,8.215626000000157,3.0045368671417236,0.0016666666666666668,-0.0016666666666666668,0.2351652781143232,-0.7885812532741528,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.009373903274536,0.0016666666666666668,-0.0016666666666666668,-0.2903666025136119,-0.8652226868460262,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.014457941055298,0.0016666666666666668,-0.0016666666666666668,-0.08000626054992807,-1.0963743388907226,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0294599533081055,0.0016666666666666668,-0.0016666666666666668,-0.24368748059421438,-0.7644488384488537,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.037642002105713,0.0016666666666666668,-0.0016666666666666668,-0.5525274383341482,-0.5487214688406616,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.042349100112915,0.0016666666666666668,-0.0016666666666666668,-0.17655488798761942,-0.6976292365093573,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0543460845947266,0.0016666666666666668,-0.0016666666666666668,0.3521574112266884,-0.7891092408316631,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0626220703125,0.0016666666666666668,-0.0016666666666666668,0.19801157792348734,-0.3931994237767793,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.067344903945923,0.0016666666666666668,-0.0016666666666666668,-0.12829822344664388,-1.046412561439463,0.03,,,9527,001,2025-07-15_10h29.08.511,ContPsyTracking,2024.2.4,None,2025-07-15 10h29.20.763209 +0100,
