trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,polygon_2.started,mouse_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,trial.started,polygon.started,mouse.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,col,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01593310001771897,0.032235899998340756,0.015585199987981468,74.33664090000093,[0.014814814814814815],[0.01574074074074074],[1],[0],[0],[74.31994320004014],[],,,,,,,,,,,,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,74.35138589999406,,,,,,,,,,,,,74.33744440000737,74.35138589999406,0.0007913999725133181,3.0134661197662354,-0.002777777777777778,0.003703703703703704,0.4860336475941135,-0.28140286151065397,1.0,"[0.6411861303139933, 0.694765969606521, 0.4630941182539128]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.0297698974609375,-0.002777777777777778,0.003703703703703704,0.47696331751506155,0.10264087939970407,1.0,"[0.880013378166855, 0.7988082779116322, 0.8711432333189914]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.0456929206848145,-0.002777777777777778,0.003703703703703704,0.6603043934684442,0.6103954680997157,1.0,"[0.1443869107275353, 0.9017338241115589, 0.36968588666579494]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.0635485649108887,-0.002777777777777778,0.003703703703703704,0.47902057848306534,0.9022400775769492,1.0,"[0.03241928600163568, 0.6581400825551066, 0.3321863367101965]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.079110860824585,-0.002777777777777778,0.003703703703703704,-0.07749492671704672,1.0702024970406787,1.0,"[0.05426580682590776, 0.7165216826182648, 0.11510475854016144]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.0959033966064453,-0.002777777777777778,0.003703703703703704,-0.5098576777792492,1.27014732910791,1.0,"[0.11704672605413613, 0.3339388087053069, 0.818135649170854]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.1121373176574707,-0.002777777777777778,0.003703703703703704,-0.3729123896657915,1.5094555140732682,1.0,"[0.1155276615111348, 0.31199339214762434, 0.08155726863991908]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.129702091217041,-0.002777777777777778,0.003703703703703704,-0.4655338012170223,1.1100414213053533,1.0,"[0.18542785561593766, 0.4628024094673253, 0.7026899210040509]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.1461095809936523,-0.002777777777777778,0.003703703703703704,-0.5835030827730828,0.7964877836122883,1.0,"[0.42732764894710384, 0.5430101736299899, 0.4806641589004458]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.1634140014648438,-0.002777777777777778,0.003703703703703704,-1.1088600709955707,0.539785614688123,1.0,"[0.03300452029127865, 0.0005189306511040881, 0.1276963943183821]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.1795904636383057,-0.002777777777777778,0.003703703703703704,-1.2959389518204598,0.09404747495679355,1.0,"[0.8065909747802538, 0.6496251140563778, 0.7010906340005221]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.196716070175171,-0.002777777777777778,0.003703703703703704,-0.8792083273513964,-0.351011683945276,1.0,"[0.5186315910506153, 0.30979346609005, 0.42363105745950846]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.2121524810791016,-0.002777777777777778,0.003703703703703704,-0.6374131763977403,-0.3785926029528942,1.0,"[0.2875176259312724, 0.5765739484917403, 0.4606718581008431]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.2296347618103027,-0.002777777777777778,0.003703703703703704,-0.6266543560460333,-0.17466133296451322,1.0,"[0.02501293835334395, 0.9487274740035011, 0.02809871160741606]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.2462289333343506,-0.002777777777777778,0.003703703703703704,-0.24112432417610652,-0.39485145322154647,1.0,"[0.5109402037356063, 0.5585607929484397, 0.06656326896245002]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.262399435043335,-0.002777777777777778,0.003703703703703704,0.08042796535631846,-0.3209106927737866,1.0,"[0.9882944231928642, 0.24893525448588272, 0.04376661752991329]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.280128240585327,-0.002777777777777778,0.003703703703703704,0.2726008261590489,-0.42725752131037964,1.0,"[0.6762339489948463, 0.058522319638177556, 0.45735136259178333]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.2966434955596924,-0.002777777777777778,0.003703703703703704,0.02167814619884667,-0.7458270945865149,1.0,"[0.645843140117233, 0.14005327440952575, 0.9214828734522712]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.3128299713134766,-0.002777777777777778,0.003703703703703704,0.25775045093288085,-0.8524220102803594,1.0,"[0.020109932468170832, 0.46950039923451403, 0.5515091205291941]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.329927682876587,-0.002777777777777778,0.003703703703703704,0.09593008466867489,-1.042148007347355,1.0,"[0.9892370954963698, 0.3638141151522777, 0.9386985825088693]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.345705270767212,-0.002777777777777778,0.003703703703703704,0.15088392206994183,-1.2707867113949527,1.0,"[0.597386328217207, 0.8314549292981175, 0.29181159000722623]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.3626487255096436,-0.002777777777777778,0.003703703703703704,-0.03201899348635409,-1.570147768438924,1.0,"[0.4997865931626386, 0.37384143323862384, 0.3148942313601404]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.3791866302490234,-0.002777777777777778,0.003703703703703704,-0.14163558593966027,-1.365182237236743,1.0,"[0.5413769522692581, 0.5222333918169079, 0.1679363780010391]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.3959944248199463,-0.002777777777777778,0.003703703703703704,-0.1804637586960266,-1.7331283789503202,1.0,"[0.728704604464443, 0.9882577324609471, 0.8517843236725937]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.4129886627197266,-0.002777777777777778,0.003703703703703704,-0.3675609307416783,-1.981736721921257,1.0,"[0.840971092283749, 0.01639798430983097, 0.38356078443821184]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.4289979934692383,-0.002777777777777778,0.003703703703703704,-0.8621328430172805,-1.6316259366901806,1.0,"[0.26434474262825214, 0.32425167770200736, 0.7141217211313572]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.4451091289520264,-0.001851851851851852,0.003703703703703704,-0.8140346892862631,-1.5011628650621403,1.0,"[0.25192269314569804, 0.38306057048857367, 0.9949856174180823]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.462414026260376,-0.000925925925925926,0.004629629629629629,-0.7576159570111267,-2.0201771106992603,1.0,"[0.29470859166747543, 0.6828229706957308, 0.10246077980382218]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.4794931411743164,-0.000925925925925926,0.004629629629629629,-0.5988454391953011,-1.8383127764080511,1.0,"[0.2660534728271794, 0.872761572389629, 0.26021536727413486]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.4963934421539307,-0.000925925925925926,0.005555555555555556,-0.4241661041372346,-1.7381111496166408,1.0,"[0.7127519642279032, 0.05702181521944072, 0.944843555125677]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.513369560241699,-0.000925925925925926,0.006481481481481481,-0.93616575955957,-1.9095254717261096,1.0,"[0.7960012902730428, 0.214840224097112, 0.6852565915117342]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.5287461280822754,-0.000925925925925926,0.006481481481481481,-0.940451967175106,-1.7028404657496252,1.0,"[0.9065757888245076, 0.32945578778267404, 0.6904834067940079]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.545457601547241,-0.000925925925925926,0.006481481481481481,-0.969323102964682,-1.2497424644546256,1.0,"[0.8246051395741621, 0.268312929323565, 0.9220798110773364]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.562147378921509,-0.007407407407407408,0.000925925925925926,-1.00255586568757,-1.3103742915323275,1.0,"[0.6970042940527469, 0.4623698432229848, 0.630899279298791]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.5787665843963623,-0.017592592592592594,-0.012962962962962963,-0.9680521722032713,-1.4787319057277968,1.0,"[0.10066132871964228, 0.19024544718459746, 0.8766940386726427]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.595533847808838,-0.03148148148148148,-0.04259259259259259,-0.9268424238493785,-1.744180147078273,1.0,"[0.9505391714925823, 0.8014545057414493, 0.42217079367553023]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.6123344898223877,-0.03611111111111111,-0.05740740740740741,-1.2400914512159738,-1.3022153353837465,1.0,"[0.5652952574348533, 0.8871601113835715, 0.9493939173135603]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.6305038928985596,-0.037037037037037035,-0.06574074074074074,-0.8267306019789408,-2.0843290574949207,1.0,"[0.5217319952664389, 0.31752774546257967, 0.3910160159773407]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.6463160514831543,-0.03611111111111111,-0.07314814814814814,-1.019104582608464,-2.067459494345456,1.0,"[0.1037715213642284, 0.3719160176780748, 0.71464529035091]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.662653923034668,-0.03333333333333333,-0.07777777777777778,-1.5272418805592682,-2.2088636753603352,1.0,"[0.9520223359309798, 0.8427218781711461, 0.24164182822111124]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.6796603202819824,-0.02962962962962963,-0.08055555555555556,-1.6799232556987542,-2.3734304069798826,1.0,"[0.006781559361263456, 0.4262585680292198, 0.7579857876262484]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.69588565826416,-0.027777777777777776,-0.0824074074074074,-1.949279577512288,-1.9049560099270573,1.0,"[0.16846815044948682, 0.6739619155389537, 0.5328171389450006]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.712392807006836,-0.025925925925925925,-0.08333333333333333,-2.0064935565652795,-1.984076764227045,1.0,"[0.5078734019127614, 0.13719669851612615, 0.5820597388931289]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.7292397022247314,-0.024074074074074074,-0.08425925925925926,-1.8975952795949622,-1.8428341090099267,1.0,"[0.47393647000637196, 0.9140456537489526, 0.5713211913958044]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.7461965084075928,-0.024074074074074074,-0.08425925925925926,-1.9485757711515894,-1.5365900031291644,1.0,"[0.5990994237713649, 0.8812174537025687, 0.7049220696043688]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.7628068923950195,-0.023148148148148147,-0.08425925925925926,-2.18048059560477,-1.2413212702445908,1.0,"[0.5121848729474546, 0.1643064072848709, 0.37074373175662223]",,,,,,,,194380,001,2025-07-15_11h02.56.052,ContinuousPsychophysics_KateVersion,2024.1.5,None,2025-07-15 11h03.14.473342 +0100,
