thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.00238590000003569,0.0021604999999453867,0.005457499999920401,3.077919800000018,[0.021527777777777778],[0.025694444444444443],[1],[0],[0],[3.0751092000000426],[],,,,,,,,,,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,3.0938579999999547,,,,,,,,,,,,,3.0782768999999917,0.00030170000013640674,3.0938579999999547,3.0154831409454346,-0.0020833333333333333,0.003472222222222222,0.21620383778474336,-0.5481868764141301,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.032477855682373,-0.0020833333333333333,0.003472222222222222,0.22792296098201817,-0.8936257121253197,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0494797229766846,-0.0020833333333333333,0.003472222222222222,0.2347553143492192,-1.4706386203486383,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.065483570098877,-0.0020833333333333333,0.003472222222222222,0.0007858982666694714,-0.829735382089807,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.0824739933013916,-0.0020833333333333333,0.003472222222222222,-0.06714282224237048,-0.7935543954127339,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.099477767944336,-0.0020833333333333333,0.003472222222222222,0.2217196837045968,-0.8179363348384127,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.11547589302063,-0.0020833333333333333,0.003472222222222222,-0.08023204824176619,-0.710833954032946,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.1324822902679443,-0.0020833333333333333,0.003472222222222222,-0.2712104655282975,-0.7156479646459346,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.1494739055633545,-0.0020833333333333333,0.003472222222222222,-0.18067148792828203,-0.9791734154389957,0.03,,123456,002,2025-07-08_10h48.55.949,ContPsyTracking,2024.2.4,60.02404563262108,2025-07-08 10h49.12.463246 +0100,
