trials_2_random.thisRepN,trials_2_random.thisTrialN,trials_2_random.thisN,trials_2_random.thisIndex,thisRow.t,notes,calibration.started,polygon_cal.started,mouse_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,trial.started,circle_stimuli.started,mouse.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,,,,,,,,,,,,,,,,,3.2589430809020996,0.000925925925925926,-0.003703703703703704,2.5445845680437453,-0.845909589090553,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.274768352508545,0.000925925925925926,-0.003703703703703704,3.0471080206507386,-1.0532436337339,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.2911181449890137,0.000925925925925926,-0.003703703703703704,3.1507787629158406,-0.9063302296387816,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.3073785305023193,0.000925925925925926,-0.003703703703703704,2.7478814135801177,-0.9682240494225839,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.324554920196533,0.000925925925925926,-0.003703703703703704,2.881190289593912,-0.6884040788220966,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.341773271560669,0.000925925925925926,-0.003703703703703704,2.9761810025820923,-0.7263960420891798,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.358309507369995,0.000925925925925926,-0.003703703703703704,3.086231638273716,-0.7518488724327692,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.3752264976501465,0.000925925925925926,-0.003703703703703704,3.4819163701288023,-1.0115187950883118,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.3912124633789062,0.020370370370370372,-0.002777777777777778,3.5062932381278142,-1.5001372215284772,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.408240556716919,0.046296296296296294,-0.002777777777777778,3.4233105486537925,-0.8165938622654979,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.425699234008789,0.07592592592592592,-0.005555555555555556,3.539373620773193,-0.05567630877524499,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.4414122104644775,0.08425925925925926,-0.006481481481481481,3.440220532349936,-0.5146041464188298,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.457825183868408,0.08796296296296297,-0.007407407407407408,3.370341479319775,-0.4516414571163072,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.4750449657440186,0.08981481481481482,-0.007407407407407408,3.520297335662092,-0.47490900496555677,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.4913339614868164,0.08981481481481482,-0.007407407407407408,4.051777980685554,-0.6937632673097737,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.508652448654175,0.08981481481481482,-0.008333333333333333,3.6470204357409743,-0.39900464024584803,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.5254745483398438,0.08981481481481482,-0.011111111111111112,3.575039495756467,-0.9502256779001501,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
0,0,0,0,,,,,,,,,,,,,,,,,3.5421652793884277,0.08611111111111111,-0.014814814814814815,4.04047965273503,-0.6653748873450704,1.0,,,,,,,,nsf,001,2025-07-15_10h30.25.544,IMRF_Psychophyics_workshop,2024.1.5,None,2025-07-15 10h30.46.674299 +0100,
